aburner2, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
aburner2g, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
superbon, 768, 224,V,R, 810, 1080, 576, 768, 4, 3, 60
agentx1, 256, 232,H,R, 1440, 1080, 1236, 928, 4, 3, 60
agentx2, 256, 232,H,R, 1440, 1080, 1236, 928, 4, 3, 60
agentx3, 256, 232,H,R, 1440, 1080, 1236, 928, 4, 3, 60
agentx4, 256, 232,H,R, 1440, 1080, 1236, 928, 4, 3, 60
aodk, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
agress, 320, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
agressb, 320, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
koshien, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
airass, 320, 240,V,R, 810, 1080, 720, 960, 4, 3, 60
airattck, 256, 224,V,R, 810, 1080, 768, 1024, 4, 3, 60
airattcka, 256, 224,V,R, 810, 1080, 768, 1024, 4, 3, 60
airbustrb, 256, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
airbustrj, 256, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
airbustr, 256, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
airduelm72, 384, 256,V,R, 810, 1080, 576, 768, 4, 3, 60
airduel, 384, 256,V,R, 810, 1080, 576, 768, 4, 3, 60
agallet, 320, 240,V,R, 810, 1080, 720, 960, 4, 3, 60
agalleth, 320, 240,V,R, 810, 1080, 720, 960, 4, 3, 60
agalletk, 320, 240,V,R, 810, 1080, 720, 960, 4, 3, 60
agalleta, 320, 240,V,R, 810, 1080, 720, 960, 4, 3, 60
agalletah, 320, 240,V,R, 810, 1080, 720, 960, 4, 3, 60
agalletak, 320, 240,V,R, 810, 1080, 720, 960, 4, 3, 60
agalletat, 320, 240,V,R, 810, 1080, 720, 960, 4, 3, 60
agalletau, 320, 240,V,R, 810, 1080, 720, 960, 4, 3, 60
agallett, 320, 240,V,R, 810, 1080, 720, 960, 4, 3, 60
agalletu, 320, 240,V,R, 810, 1080, 720, 960, 4, 3, 60
airwolf, 288, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
airwolfa, 288, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
